mes,max_vol,min_vol
Mes1_16,15.17,0
Mes2_16,13.37,0
Mes3_16,17.12,0
Mes4_16,16.86,0
Mes5_16,17.49,0
Mes1_17,19.27,0
Mes2_17,20.36,0
Mes3_17,16.68,0
Mes4_17,16.51,0
